variant,attrs,threads,offered_ops_s,tput_ops_s,loss_pct
quent-log/postcard,2,8,3871785.887762464,3131185.0837131017,0
quent-span/grpc,2,8,4520410.607700406,529112.3953558443,0
quent-span/msgpack,2,8,4413511.612721418,2474385.841319747,0
quent-span/ndjson,2,8,3872962.7550243097,2059491.5924432506,0
quent-span/noop,2,8,3895927.7242760626,,
quent-span/postcard,2,8,4627991.1600648295,2689611.0463767303,0
tracing-log/file,2,8,6028749.999457412,2292855.8307938236,61.96797294629599
tracing-span/file,2,8,2834241.4493294978,2124745.2102050586,25.033020362195547
otel-log/grpc,2,16,29408814.74227416,393067.0740671517,98.66343789264607
otel-log/noop,2,16,3949382.057665453,,
otel-span/grpc,2,16,8384899.557246279,359903.92355843267,95.70771335898232
otel-span/noop,2,16,4622709.999897815,,
quent-log/grpc,2,16,3953459.0107643,956092.3156293008,0
quent-log/msgpack,2,16,3676897.135339002,2809353.1987080607,0
quent-log/ndjson,2,16,3805218.121866521,3155424.9475384178,0
quent-log/noop,2,16,3687141.174795151,,
quent-log/postcard,2,16,3959641.6455413024,3270448.0089104534,0
quent-span/grpc,2,16,3935373.6016724757,516176.501847277,0
quent-span/msgpack,2,16,3870190.512798424,2389262.3805743777,0
quent-span/ndjson,2,16,3781504.045814162,2309436.0953813368,0
quent-span/noop,2,16,3934719.7415399067,,
quent-span/postcard,2,16,3977318.2845158847,2615257.541428893,0
tracing-log/file,2,16,7263938.620183552,2394217.4323410946,67.03967974497291
tracing-span/file,2,16,5291806.313686922,1871490.0653162492,64.63419191145076
otel-log/grpc,2,32,25950980.15554498,487355.50700277014,98.1220150295609
otel-log/noop,2,32,10165740.86671592,,
otel-span/grpc,2,32,9816833.97758597,529455.0982582828,94.60666137914579
otel-span/noop,2,32,5755198.532709832,,
quent-log/grpc,2,32,4116346.932437344,950418.6763443822,0
quent-log/msgpack,2,32,4117692.928711669,2970993.492350709,0
quent-log/ndjson,2,32,4061585.2237563753,3111400.462365621,0
quent-log/noop,2,32,3978828.518174623,,
quent-log/postcard,2,32,4138588.756133078,3350067.2037718864,0
quent-span/grpc,2,32,2657712.4648365043,478036.08896310226,0
quent-span/msgpack,2,32,2578909.721429073,1691725.3598374275,0
quent-span/ndjson,2,32,4156249.063025602,2220002.1879675565,0
quent-span/noop,2,32,4320073.670734716,,
