variant,attrs,threads,offered_ops_s,tput_ops_s,bytes_written,write_bytes_s,loss_pct,call_p50_ns,call_p95_ns,call_p99_ns,drain_ms
quent-dynamic-log/ndjson,64,16,689128.750944991,61889.318251603334,926900602,1147304926.8956144,0,12727,68243,185321,735.1997496666667
quent-dynamic-log/noop,64,16,1380616.6554205206,,,,,6025,6735,14378,
quent-dynamic-log/postcard,64,16,888097.8818235876,92371.04000103056,820900602,1516548846.8842413,0,11594,27796,42397,484.9755043333333
quent-dynamic-span/grpc,64,16,897910.0318153092,12615.25975193469,,,0,12365,23916,164287,5769.913132999999
quent-dynamic-span/msgpack,64,16,845638.092259548,78088.34984321774,850801194,1328753225.6819875,0,11599,24028,30949,580.8418396666667
quent-dynamic-span/ndjson,64,16,617697.713786256,59176.21021739256,931502074,1102455250.9792233,0,14162,39464,221857,764.7598969999999
quent-dynamic-span/noop,64,16,1336939.145761012,,,,,6110,6364,15087,
quent-dynamic-span/postcard,64,16,793915.7507911756,94615.9105823243,822451098,1556339190.9340484,0,12669,25063,31917,465.561079
quent-static-log/grpc,64,16,1166846.4600064973,8261.81534699824,,,0,9510,16260,28176,6213.464317666666
quent-static-log/msgpack,64,16,1254516.6882116853,124734.7116580127,807000602,2013219747.9662533,0,10250,23276,34597,361.18566300000003
quent-static-log/ndjson,64,16,1033685.2826267416,76373.02787148491,848200602,1295592964.3431256,0,10664,47320,261999,595.0499003333333
quent-static-log/noop,64,16,2152831.7160270647,,,,,3939,6589,6823,
quent-static-log/postcard,64,16,1294100.0209754624,142196.57937260464,800700602,2277137734.1197066,0,8506,16564,25426,313.32586699999996
quent-static-span/grpc,64,16,1127992.8446187556,11456.40524645741,,,0,10105,26312,69665,5061.820213333333
quent-static-span/msgpack,64,16,1142935.9526244442,152250.67094558448,808851194,2462962739.6327424,0,9644,17757,36147,284.346664
quent-static-span/ndjson,64,16,1090297.2487988845,72021.39991653095,852802074,1228399984.4240205,0,11070,27115,260622,649.0457313333335
quent-static-span/noop,64,16,2263603.9421419953,,,,,4005,6624,7365,
quent-static-span/postcard,64,16,1202681.6474789102,168307.53159277752,802251098,2700498040.439509,0,9184,20994,44648,255.4549946666667
